Data operacji,Data waluty,Typ transakcji,Kwota,Waluta,Saldo po transakcji,Opis transakcji
03-06-26,03-04-26,P³atnoœæ kart¹,-5.98,PLN,15430.48,Tytu³: 442885795815746760000,Lokalizacja: Adres: JMP S.A. BIEDRONKA 4186 Miasto: SIEDLCE Kraj: POLSKA,Data wykonania operacji: 2026-03-04,Oryginalna kwota operacji: 5.98,1234567******1234
03-06-26,03-04-26,P³atnoœæ kart¹,-58.44,PLN,15436.46,Tytu³: 682253490673206400000,Lokalizacja: Adres: JMP S.A. BIEDRONKA 5555 Miasto: SIEDLCE Kraj: POLSKA,Data wykonania operacji: 2026-03-04,Oryginalna kwota operacji: 58.44,Numer karty: 1234567******1234
03-06-26,03-04-26,P³atnoœæ kart¹,-3.49,PLN,15494.90,Tytu³: 621347059787817700000,Lokalizacja: Adres: JMP S.A. BIEDRONKA 4186 Miasto: SIEDLCE Kraj: POLSKA,Data wykonania operacji: 2026-03-04,Oryginalna kwota operacji: 3.49,Numer karty: 1234567******1234
03-05-26,03-05-26,Przelew na konto,12500.00,PLN,15498.39,Rachunek nadawcy: 12 3456 7891 2345 6789 1234 5678,Nazwa nadawcy: EMPLOYER  SPÓ£KA Z OGRANICZON¥ ODPOWIEDZIALNOŒCI¥,Adres nadawcy: KONSTRUKTORSKA 11 02-673 WARSZAWA,Tytu³: wynagrodzenie za luty 2026,
03-05-26,03-03-26,P³atnoœæ kart¹,-85.73,PLN,2998.39,Tytu³: 483377513271757640000,Lokalizacja: Adres: JMP S.A. BIEDRONKA 4363 Miasto: WARSZAWA Kraj: POLSKA,Data wykonania operacji: 2026-03-03,Oryginalna kwota operacji: 85.73,Numer karty: 1234567******1234
03-05-26,03-03-26,P³atnoœæ kart¹,-19.00,PLN,3084.12,Tytu³: 587932997 276647453590901620000,Lokalizacja: Adres: MASLANKA BAR MLECZNY Miasto: WARSZAWA Kraj: POLSKA,Data wykonania operacji: 2026-03-03,Oryginalna kwota operacji: 19.00,Numer karty: 1234567******1234
03-04-26,03-02-26,P³atnoœæ kart¹,-12.50,PLN,3103.12,Tytu³: 741842970276074500000,Lokalizacja: Adres: GROMULSKI PIEKARNIA-CUK. Miasto: WARSZAWA Kraj: POLSKA,Data wykonania operacji: 2026-03-02,Oryginalna kwota operacji: 12.50,Numer karty: 1234567******1234
03-04-26,03-02-26,P³atnoœæ kart¹,-98.80,PLN,3115.62,Tytu³: 213201177486983700000,Lokalizacja: Adres: JMP S.A. BIEDRONKA 4363 Miasto: WARSZAWA Kraj: POLSKA,Data wykonania operacji: 2026-03-02,Oryginalna kwota operacji: 98.80,Numer karty: 1234567******1234
03-04-26,03-01-26,P³atnoœæ kart¹,-125.99,PLN,3214.42,Tytu³: 550823569 724298419062386700000,Lokalizacja: Adres: ZDROFIT ZOLIBORZ CH ARKAD Miasto: WARSZAWA Kraj: POLSKA,Data wykonania operacji: 2026-03-01,Oryginalna kwota operacji: 125.99,Numer karty: 1234567******1234
03-03-26,03-01-26,P³atnoœæ kart¹,-30.00,PLN,3381.97,Tytu³: 644449853 131190152585531500000,Lokalizacja: Adres: MUZEUM WARSZAWSKIEJ PR Miasto: WARSZAWA Kraj: POLSKA,Data wykonania operacji: 2026-03-01,Oryginalna kwota operacji: 30.00,Numer karty: 1234567******1234
03-03-26,02-28-26,P³atnoœæ kart¹,-3.10,PLN,3411.97,Tytu³: 700700795 916562409535105000000,Lokalizacja: Adres: ZABKA Z5070 K.2 Miasto: WARSZAWA Kraj: POLSKA,Data wykonania operacji: 2026-02-28,Oryginalna kwota operacji: 3.10,Numer karty: 1234567******1234
03-02-26,02-28-26,P³atnoœæ kart¹,-20.50,PLN,3454.24,Tytu³: 962818544 417498582724022500000,Lokalizacja: Adres: BAR MLECZNY PRZYSTANEK Miasto: WARSZAWA Kraj: POLSKA,Data wykonania operacji: 2026-02-28,Oryginalna kwota operacji: 20.50,Numer karty: 1234567******1234
